,Accidents,UrbanDensification,UrbanParks,OldTown,Bars,HN_noise_40,HN_noise_60,strOri_0,strOri_1,strOri_2,strOri_3,X,Y,clusterID
1896,7,12501,67312,77545,3.0,0.766666667,0.083333333,465.970057,3527.415034,331.7975265,2885.174417,431408.8737,4581949.456,4
1897,17,23235,36864,0,1.0,1.0,0.0,67.8804291,1639.263003,362.9908398,2198.001909,427416.0576,4582868.617,1
1898,22,29355,18212,65796,13.0,1.0,0.0,895.7568503,1629.434942,1065.150945,1148.903198,430086.7798,4581270.538,4
1899,21,34037,10356,20326,1.0,0.764705882,0.0,1047.155024,826.3411118,1136.871804,1278.762113,427255.6031,4581903.084,0
1900,12,17508,8013,75853,7.0,1.0,0.0,2423.537724,406.9842476,1578.375042,714.6510698,427587.3143,4581047.659,0
1901,16,0,16778,112468,45.0,0.70212766,0.021276596,584.9868562,3138.541137,462.54098,2423.954808,431016.1648,4581426.074,2
1902,8,0,10349,78790,28.0,0.984375,0.0,411.2145114,3630.950579,382.2124376,3091.013438,431186.0042,4581570.124,2
1903,1,0,65645,87458,1.0,0.93877551,0.020408163,1165.057866,2454.125492,546.3674154,1582.148856,431462.3134,4582161.292,4
1904,10,0,4451,92946,18.0,0.515151515,0.393939394,132.5092176,2515.51651,214.0238402,2798.936916,429414.9989,4583935.064,2
1905,46,56350,18206,27869,22.0,0.666666667,0.095238095,561.3152276,1330.564914,834.1486051,1290.595022,430181.8462,4581831.535,3
1906,32,37245,40493,42609,7.0,0.526315789,0.0,2344.743778,437.2572551,1838.230087,894.7708891,427743.0362,4580814.42,0
1907,9,6907,9138,78919,28.0,0.969230769,0.0,260.2263438,3766.374519,418.5251242,3177.172911,431234.707,4581578.651,2
1908,18,0,19042,122544,45.0,0.392857143,0.0,377.1988901,3287.68454,404.8453655,2517.707502,431048.5667,4581343.133,2
1909,11,0,1120,93383,32.0,0.6875,0.166666667,212.5466064,3196.972367,248.8763711,2516.931963,431371.6258,4581320.709,2
1910,21,0,12604,63076,35.0,0.52173913,0.173913043,47.34366234,2489.090338,179.1083334,2118.220236,431378.8494,4581175.636,2
1911,8,12715,38560,87973,11.0,0.611111111,0.138888889,266.0255095,3097.728579,423.060964,3247.301578,431471.6502,4581702.681,2
1912,29,87716,357,3193,1.0,1.0,0.0,72.20061009,1681.308734,443.6402255,1681.276335,430431.73,4584787.453,1
1913,17,61688,117221,40436,4.0,0.848484848,0.0,558.8461362,1541.137913,422.3894722,2288.303124,427467.8303,4582018.479,4
